key,average,std_err
 correct_C,[0.224 0.248 0.344 0.344 0.352 0.392 0.408 0.412 0.512 0.512 0.548 0.608 0.608 0.676 0.68  0.736 0.784 0.852 0.936 0.936],[0.02637 0.02731 0.03004 0.03004 0.03021 0.03088 0.03108 0.03113 0.03161 0.03161 0.03148 0.03088 0.03088 0.0296  0.0295  0.02788 0.02603 0.02246 0.01548 0.01548]
 correct_D,[0.064 0.084 0.084 0.1   0.132 0.132 0.164 0.188 0.216 0.248 0.316 0.328 0.332 0.408 0.508 0.596 0.612 0.668 0.688 0.716],[0.01548 0.01754 0.01754 0.01897 0.02141 0.02141 0.02342 0.02471 0.02603 0.02731 0.0294  0.02969 0.02978 0.03108 0.03162 0.03103 0.03082 0.02978 0.0293  0.02852]
 correct_L,[0.268 0.324 0.352 0.364 0.388 0.408 0.452 0.464 0.512 0.58  0.628 0.732 0.768 0.836 0.876 0.876 0.936 0.936 0.944 0.944],[0.02801 0.0296  0.03021 0.03043 0.03082 0.03108 0.03148 0.03154 0.03161 0.03122 0.03057 0.02801 0.0267  0.02342 0.02084 0.02084 0.01548 0.01548 0.01454 0.01454]
 correct_O,[0.096 0.096 0.112 0.116 0.116 0.132 0.152 0.164 0.18  0.204 0.22  0.3   0.332 0.376 0.456 0.508 0.548 0.592 0.68  0.708],[0.01863 0.01863 0.01995 0.02025 0.02025 0.02141 0.02271 0.02342 0.0243  0.02549 0.0262  0.02898 0.02978 0.03063 0.0315  0.03162 0.03148 0.03108 0.0295  0.02876]
 correct_P,[0.2   0.228 0.272 0.288 0.348 0.368 0.424 0.428 0.492 0.568 0.636 0.704 0.724 0.82  0.82  0.852 0.88  0.888 0.896 0.896],[0.0253  0.02653 0.02814 0.02864 0.03013 0.0305  0.03126 0.03129 0.03162 0.03133 0.03043 0.02887 0.02827 0.0243  0.0243  0.02246 0.02055 0.01995 0.01931 0.01931]
 correct_T,[0.212 0.232 0.312 0.344 0.352 0.416 0.432 0.432 0.496 0.504 0.568 0.616 0.632 0.668 0.728 0.784 0.808 0.844 0.888 0.888],[0.02585 0.0267  0.0293  0.03004 0.03021 0.03117 0.03133 0.03133 0.03162 0.03162 0.03133 0.03076 0.0305  0.02978 0.02814 0.02603 0.02491 0.02295 0.01995 0.01995]
 p_confidence_C,[0.224 0.248 0.344 0.344 0.352 0.392 0.408 0.412 0.512 0.512 0.548 0.608 0.608 0.676 0.68  0.736 0.784 0.852 0.936 0.936],[0.02637 0.02731 0.03004 0.03004 0.03021 0.03088 0.03108 0.03113 0.03161 0.03161 0.03148 0.03088 0.03088 0.0296  0.0295  0.02788 0.02603 0.02246 0.01548 0.01548]
 p_confidence_D,[0.064 0.084 0.084 0.1   0.132 0.132 0.164 0.188 0.216 0.248 0.316 0.328 0.332 0.408 0.508 0.596 0.612 0.668 0.688 0.716],[0.01548 0.01754 0.01754 0.01897 0.02141 0.02141 0.02342 0.02471 0.02603 0.02731 0.0294  0.02969 0.02978 0.03108 0.03162 0.03103 0.03082 0.02978 0.0293  0.02852]
 p_confidence_L,[0.268 0.324 0.352 0.364 0.388 0.408 0.452 0.464 0.512 0.58  0.628 0.732 0.768 0.836 0.876 0.876 0.936 0.936 0.944 0.944],[0.02801 0.0296  0.03021 0.03043 0.03082 0.03108 0.03148 0.03154 0.03161 0.03122 0.03057 0.02801 0.0267  0.02342 0.02084 0.02084 0.01548 0.01548 0.01454 0.01454]
 p_confidence_O,[0.096 0.096 0.112 0.116 0.116 0.132 0.152 0.164 0.18  0.204 0.22  0.3   0.332 0.376 0.456 0.508 0.548 0.592 0.68  0.708],[0.01863 0.01863 0.01995 0.02025 0.02025 0.02141 0.02271 0.02342 0.0243  0.02549 0.0262  0.02898 0.02978 0.03063 0.0315  0.03162 0.03148 0.03108 0.0295  0.02876]
 p_confidence_P,[0.2   0.228 0.272 0.288 0.348 0.368 0.424 0.428 0.492 0.568 0.636 0.704 0.724 0.82  0.82  0.852 0.88  0.888 0.896 0.896],[0.0253  0.02653 0.02814 0.02864 0.03013 0.0305  0.03126 0.03129 0.03162 0.03133 0.03043 0.02887 0.02827 0.0243  0.0243  0.02246 0.02055 0.01995 0.01931 0.01931]
 p_confidence_T,[0.212 0.232 0.312 0.344 0.352 0.416 0.432 0.432 0.496 0.504 0.568 0.616 0.632 0.668 0.728 0.784 0.808 0.844 0.888 0.888],[0.02585 0.0267  0.0293  0.03004 0.03021 0.03117 0.03133 0.03133 0.03162 0.03162 0.03133 0.03076 0.0305  0.02978 0.02814 0.02603 0.02491 0.02295 0.01995 0.01995]
